indicator_id,period_start,period_end,value,last_updated
RI_3C4_temp_accom,2019-01-01,2019-12-31,281,2026-07-30
RI_3C4_temp_accom,2020-01-01,2020-12-31,305,2026-07-30
RI_3C4_temp_accom,2021-01-01,2021-12-31,325.5,2026-07-30
RI_3C4_temp_accom,2022-01-01,2022-12-31,343.5,2026-07-30
RI_3C4_temp_accom,2023-01-01,2023-12-31,172.5,2026-07-30
RI_3C4_temp_accom,2024-01-01,2024-12-31,122,2026-07-30
RI_3C4_temp_accom,2025-01-01,2025-12-31,168.5,2026-07-30
