indicator_id,period_start,period_end,value,last_updated
RI_1B1_gdp_growth,2013-01-01,2013-12-31,-0.04053917097395221,2026-07-27
RI_1B1_gdp_growth,2014-01-01,2014-12-31,4.415492243739227,2026-07-27
RI_1B1_gdp_growth,2015-01-01,2015-12-31,1.228334223430605,2026-07-27
RI_1B1_gdp_growth,2016-01-01,2016-12-31,3.1918465227817716,2026-07-27
RI_1B1_gdp_growth,2017-01-01,2017-12-31,2.8119262857010163,2026-07-27
RI_1B1_gdp_growth,2018-01-01,2018-12-31,-0.0949345629619569,2026-07-27
RI_1B1_gdp_growth,2019-01-01,2019-12-31,2.6833186271182585,2026-07-27
RI_1B1_gdp_growth,2020-01-01,2020-12-31,-8.500605927068417,2026-07-27
RI_1B1_gdp_growth,2021-01-01,2021-12-31,12.64478532039397,2026-07-27
RI_1B1_gdp_growth,2022-01-01,2022-12-31,3.912095429475393,2026-07-27
RI_1B1_gdp_growth,2023-01-01,2023-12-31,2.828752468729423,2026-07-27
